"Channel","Clinic","login_id","login time","logout time","ip","Lat Long"
"Muthoot","ECMT011 Kottayam MML Kerala","ecmt011","2025-07-21 10:50:11","2025-07-21 11:26:00","111.92.100.44","{""latitude"":""9.5871101"",""longitude"":""76.5835779""}"
"Muthoot","ECMT155 MIRANPUR MML MUZAFFARNAGAR","ecmt155","2025-07-21 11:06:45","","106.211.57.8",""
"Muthoot","ECMT155 MIRANPUR MML MUZAFFARNAGAR","ecmt155","2025-07-21 09:36:22","2025-07-21 10:06:30","106.211.57.8",""
"Muthoot","ECMT156 RAXUL MML EAST CHAMPARAN","ecmt156","2025-07-21 09:24:57","2025-07-21 09:55:49","117.96.148.137",""
"Muthoot","ECMT156 RAXUL MML EAST CHAMPARAN","ecmt156","2025-07-21 11:44:38","2025-07-21 11:46:37","117.96.16.89",""
"Muthoot","ECMT156 RAXUL MML EAST CHAMPARAN","ecmt156","2025-07-21 11:22:54","2025-07-21 11:37:17","117.96.16.89","{""latitude"":""26.9752431"",""longitude"":""84.849093""}"
"Muthoot","ECMT156 RAXUL MML EAST CHAMPARAN","ecmt156","2025-07-21 11:47:59","2025-07-21 11:48:47","117.96.146.65",""
"Muthoot","ECMT156 RAXUL MML EAST CHAMPARAN","ecmt156","2025-07-21 11:59:16","","117.96.16.89","{""latitude"":""26.9749879"",""longitude"":""84.8489316""}"
"Muthoot","ECMT108 DUMRA MML SITAMARHI","Ecmt108","2025-07-21 11:18:16","","117.96.146.137",""
"Muthoot","ECMT108 DUMRA MML SITAMARHI","Ecmt108","2025-07-21 11:58:33","","117.96.144.137","{""latitude"":""26.5649541"",""longitude"":""85.5157346""}"
"Muthoot","ECMT020 Pratapgarh ","ecmt020","2025-07-21 10:39:25","","152.59.178.26","{""latitude"":""25.9062088"",""longitude"":""81.9932155""}"
"Muthoot","ECMT020 Pratapgarh ","ecmt020","2025-07-21 08:48:32","2025-07-21 09:18:34","152.59.178.26",""
"Muthoot","ECMT111 ALIGARH MML ALIGARH ","ecmt111","2025-07-21 11:01:08","2025-07-21 11:32:00","110.226.197.161","{""latitude"":""27.8731312"",""longitude"":""78.074016""}"
"Muthoot","ECMT111 ALIGARH MML ALIGARH ","ecmt111","2025-07-21 09:08:44","2025-07-21 09:09:23","110.226.197.13",""
"Muthoot","ECMT171 BARAUNI MML BEGUSARAI ","ecmt171","2025-07-21 09:19:08","2025-07-21 09:49:32","223.228.249.102","{""latitude"":""25.4695534"",""longitude"":""85.9888631""}"
"Muthoot","ECMT171 BARAUNI MML BEGUSARAI ","ecmt171","2025-07-21 11:45:01","","117.96.17.104","{""latitude"":""25.4694473"",""longitude"":""85.9888428""}"
"Muthoot","ECMT171 BARAUNI MML BEGUSARAI ","ecmt171","2025-07-21 11:19:45","2025-07-21 11:44:53","117.96.145.104","{""latitude"":""25.4694059"",""longitude"":""85.9888096""}"
"Muthoot","ECMT171 BARAUNI MML BEGUSARAI ","ecmt171","2025-07-21 10:04:06","2025-07-21 11:01:00","117.96.21.104","{""latitude"":""25.4694546"",""longitude"":""85.9888383""}"
"Muthoot","ECMT171 BARAUNI MML BEGUSARAI ","ecmt171","2025-07-21 11:54:34","","117.96.148.161","{""latitude"":""25.469446"",""longitude"":""85.9888422""}"
"Muthoot","ECMT026 Mahnar Vaishali","ecmt026","2025-07-21 10:58:02","","117.96.148.230","{""latitude"":""25.6114174"",""longitude"":""85.4856201""}"
"Muthoot","ECMT027 Jaunpur MML","ecmt027","2025-07-21 09:19:21","2025-07-21 09:49:41","106.208.147.181",""
"Muthoot","ECMT027 Jaunpur MML","ecmt027","2025-07-21 09:24:20","2025-07-21 11:29:00","106.208.147.181",""
"Muthoot","ECMT027 Jaunpur MML","ecmt027","2025-07-21 11:44:12","","106.208.151.181",""
"Muthoot","ECMT027 Jaunpur MML","ecmt027","2025-07-21 10:59:56","","106.208.158.181",""
"Muthoot","ECMT027 Jaunpur MML","ecmt027","2025-07-21 09:23:08","2025-07-21 09:53:26","106.208.147.181",""
"Muthoot","ECMT027 Jaunpur MML","ecmt027","2025-07-21 08:39:48","2025-07-21 09:41:57","106.221.54.181",""
"Muthoot","ECMT028 Maliyana Road MML Meerut","ecmt028","2025-07-21 10:38:09","2025-07-21 11:12:30","106.219.150.249","{""latitude"":""28.9721171"",""longitude"":""77.6790933""}"
"Muthoot","ECMT028 Maliyana Road MML Meerut","ecmt028","2025-07-21 10:22:43","2025-07-21 11:02:00","106.219.145.125","{""latitude"":""28.9722041"",""longitude"":""77.6790797""}"
"Muthoot","ECMT029 Motihari East champaran","ecmt029","2025-07-21 11:09:52","","103.157.11.195",""
"Muthoot","ECMT030 Meerut MML Meerut","ecmt030","2025-07-21 11:31:55","","49.43.163.97",""
"Muthoot","ECMT031 Kanti Muzaffarpur","ecmt031","2025-07-21 11:55:19","","45.121.2.167","{""latitude"":""26.2039902"",""longitude"":""85.2914747""}"
"Muthoot","ECMT115 BIRAUL MML DARBHANGA","Ecmt115","2025-07-21 09:22:48","2025-07-21 09:52:57","103.225.57.42","{""latitude"":""25.9467874"",""longitude"":""86.241125""}"
"Muthoot","ECMT115 BIRAUL MML DARBHANGA","Ecmt115","2025-07-21 11:16:50","","103.225.57.42","{""latitude"":""25.9467369"",""longitude"":""86.241112""}"
"Muthoot","ECMT115 BIRAUL MML DARBHANGA","Ecmt115","2025-07-21 09:59:08","2025-07-21 10:30:00","103.225.57.42","{""latitude"":""25.9467874"",""longitude"":""86.241125""}"
"Muthoot","ECMT033 Samastipur MML","ecmt033","2025-07-21 09:41:00","2025-07-21 10:16:30","117.96.148.20",""
"Muthoot","ECMT033 Samastipur MML","ecmt033","2025-07-21 09:59:22","2025-07-21 10:30:51","117.96.148.20",""
"Muthoot","ECMT033 Samastipur MML","ecmt033","2025-07-21 10:36:29","2025-07-21 11:59:00","117.96.146.20",""
"Muthoot","ECMT124 GOVERDHAN MML MATHURA ","ecmt124","2025-07-21 09:56:53","2025-07-21 11:07:43","59.183.72.97",""
"Muthoot","ECMT039 Dholi MML","ecmt039","2025-07-21 10:18:29","2025-07-21 10:51:00","45.121.2.86","{""latitude"":""25.9985492"",""longitude"":""85.6057849""}"
"Muthoot","ECMT040 Allahabad MML","ecmt040","2025-07-21 10:09:19","2025-07-21 10:55:40","171.76.232.59","{""latitude"":""25.3825584"",""longitude"":""81.9550959""}"
"Muthoot","ECMT040 Allahabad MML","ecmt040","2025-07-21 11:03:41","","171.76.234.239","{""latitude"":""25.3822691"",""longitude"":""81.9563796""}"
"Muthoot","ECMT042 JHUMRI TELAIYA MML KODERMA","ecmt042","2025-07-21 09:24:30","2025-07-21 09:55:00","152.58.191.32",""
"Muthoot","ECMT131 KOZHENCHERRY MML PATHANAMTHITA","ecmt131","2025-07-21 10:54:21","2025-07-21 11:35:00","106.221.226.51",""
"Muthoot","ECMT131 KOZHENCHERRY MML PATHANAMTHITA","ecmt131","2025-07-21 10:42:10","2025-07-21 11:17:00","106.221.226.51",""
"Muthoot","ECMT139 JANDAHA MML VAISHALI ","ecmt139","2025-07-21 09:21:46","2025-07-21 09:53:00","157.35.50.136",""
"Muthoot","ECMT139 JANDAHA MML VAISHALI ","ecmt139","2025-07-21 10:20:42","","117.96.23.191","{""latitude"":""25.7096186"",""longitude"":""85.5377487""}"
"Muthoot","ECMT139 JANDAHA MML VAISHALI ","ecmt139","2025-07-21 09:52:36","2025-07-21 10:22:56","157.35.48.22",""
"Muthoot","ECMT055 Benipatti Madhubani","ecmt055","2025-07-21 10:27:25","2025-07-21 10:58:00","117.96.20.224",""
"Muthoot","ECMT056 Mawana MML Meerut","ecmt056","2025-07-21 09:02:23","2025-07-21 09:32:36","202.89.67.111",""
"Muthoot","ECMT056 Mawana MML Meerut","ecmt056","2025-07-21 09:40:45","2025-07-21 10:11:00","202.89.67.111",""
"Muthoot","ECMT136 BADAUN MML BADAUN ","ecmt136","2025-07-21 08:58:40","2025-07-21 09:29:00","106.219.149.47","{""latitude"":""28.0300172"",""longitude"":""79.1336129""}"
"Muthoot","ECMT136 BADAUN MML BADAUN ","ecmt136","2025-07-21 10:06:37","2025-07-21 10:38:00","106.219.148.208",""
"Muthoot","ECMT064 sheohar MML","ecmt064","2025-07-21 10:33:16","2025-07-21 11:22:00","117.96.16.84",""
"Muthoot","ECMT070 Nazibabad MML Bijnor","ecmt070","2025-07-21 11:24:36","","223.228.89.7",""
"Muthoot","ECMT134 KAKRALA MML","ecmt134","2025-07-21 10:48:27","2025-07-21 11:40:12","106.219.147.249","{""latitude"":""28.0332278"",""longitude"":""79.1253114""}"
"Muthoot","ECMT083 HATHRAS MML HATHRAS ","ecmt083","2025-07-21 10:19:31","2025-07-21 11:27:00","110.226.198.96","{""latitude"":""27.5909573"",""longitude"":""78.0501304""}"
"Muthoot","ECMT083 HATHRAS MML HATHRAS ","ecmt083","2025-07-21 09:44:20","2025-07-21 10:18:00","110.226.198.219","{""latitude"":""27.5909573"",""longitude"":""78.0501304""}"
"Muthoot","ECMT083 HATHRAS MML HATHRAS ","ecmt083","2025-07-21 09:35:40","2025-07-21 10:06:00","110.226.198.219","{""latitude"":""27.5909573"",""longitude"":""78.0501304""}"
"Muthoot","ECMT083 HATHRAS MML HATHRAS ","ecmt083","2025-07-21 11:37:43","","110.226.198.180","{""latitude"":""27.5909291"",""longitude"":""78.0501332""}"
"Muthoot","ECMT106 ALIGARH BUS STAND MML ALIGARH","ecmt0106","2025-07-21 11:13:50","","139.5.19.80","{""latitude"":""27.907469"",""longitude"":""78.0442306""}"
"Muthoot","ECMT106 ALIGARH BUS STAND MML ALIGARH","ecmt0106","2025-07-21 09:13:31","2025-07-21 09:44:00","110.227.37.121","{""latitude"":""27.8975788"",""longitude"":""78.0338103""}"
"Muthoot","ECMT081 JHALWA MML PRAYAGRAJ","ecmt081","2025-07-21 10:28:02","","171.76.235.220","{""latitude"":""25.4364124"",""longitude"":""81.7781938""}"
"Muthoot","ECMT081 JHALWA MML PRAYAGRAJ","ecmt081","2025-07-21 08:50:16","2025-07-21 09:20:31","223.189.244.75","{""latitude"":""25.4363401"",""longitude"":""81.7781649""}"
"Muthoot","ECMT081 JHALWA MML PRAYAGRAJ","ecmt081","2025-07-21 10:29:17","2025-07-21 10:29:21","103.42.172.154",""
"Muthoot","ECMT081 JHALWA MML PRAYAGRAJ","ecmt081","2025-07-21 09:59:29","2025-07-21 10:10:29","103.42.172.154",""
"Muthoot","ECMT081 JHALWA MML PRAYAGRAJ","ecmt081","2025-07-21 09:36:23","2025-07-21 10:48:25","223.189.244.75","{""latitude"":""25.4362771"",""longitude"":""81.7781414""}"
"Muthoot","ECMT081 JHALWA MML PRAYAGRAJ","ecmt081","2025-07-21 09:13:50","2025-07-21 09:52:00","223.189.244.75","{""latitude"":""25.4362771"",""longitude"":""81.7781414""}"
"Muthoot","ECMT081 JHALWA MML PRAYAGRAJ","ecmt081","2025-07-21 11:07:20","2025-07-21 11:11:08","103.42.172.154",""
"Muthoot","ECMT071 Chandpur MML Bijnor","ecmt071","2025-07-21 11:51:17","","103.102.89.13",""
"Muthoot","ECMT071 Chandpur MML Bijnor","ecmt071","2025-07-21 09:05:31","2025-07-21 09:35:45","106.211.59.34",""
"Muthoot","ECMT095 DUMKA MML DUMKA","ecmt095","2025-07-21 10:33:15","2025-07-21 11:13:49","49.37.51.126",""
"Muthoot","ECMT095 DUMKA MML DUMKA","ecmt095","2025-07-21 09:25:20","2025-07-21 09:55:40","47.31.69.222","{""latitude"":""24.277557"",""longitude"":""87.2516546""}"
"Muthoot","ECMT094 RAMGARH MML RAMGARH","ecmt094","2025-07-21 10:48:25","2025-07-21 10:50:59","106.207.65.217",""
"Muthoot","ECMT093 CHAMPA NAGAR MML PURNEA","ecmt093","2025-07-21 10:30:50","2025-07-21 11:48:44","152.56.134.178","{""latitude"":""25.9032855"",""longitude"":""87.3309332""}"
"Muthoot","ECMT093 CHAMPA NAGAR MML PURNEA","ecmt093","2025-07-21 11:32:01","","146.196.47.41","{""latitude"":""22.689676"",""longitude"":""88.396873""}"
"Muthoot","ECMT093 CHAMPA NAGAR MML PURNEA","ecmt093","2025-07-21 11:24:03","","152.56.134.178","{""latitude"":""25.9032846"",""longitude"":""87.3309331""}"
"Muthoot","ECMT093 CHAMPA NAGAR MML PURNEA","ecmt093","2025-07-21 11:25:12","","152.56.134.178",""
"Muthoot","ECMT084 SASNI MML HATHRAS","ecmt084","2025-07-21 11:45:35","","223.188.231.102",""
"Muthoot","ECMT073 KHATAULI MML MUZAFFARNAGAR","ecmt073","2025-07-21 10:08:32","2025-07-21 11:30:48","223.184.188.195","{""latitude"":""29.2115416"",""longitude"":""77.7206282""}"
"Muthoot","ECMT073 KHATAULI MML MUZAFFARNAGAR","ecmt073","2025-07-21 09:37:38","2025-07-21 10:08:00","223.184.188.195","{""latitude"":""29.2115262"",""longitude"":""77.7206489""}"
"Muthoot","ECMT077 IGLAS MML ALIGARH","ecmt077","2025-07-21 11:44:42","","152.58.96.181",""
"Muthoot","ECMT077 IGLAS MML ALIGARH","ecmt077","2025-07-21 09:36:18","2025-07-21 10:11:00","152.58.96.181","{""latitude"":""27.7024631"",""longitude"":""77.9455509""}"
"Muthoot","ECMT077 IGLAS MML ALIGARH","ecmt077","2025-07-21 11:43:26","","152.58.96.181","{""latitude"":""27.7024639"",""longitude"":""77.9455591""}"
"Muthoot","ECMT078 RAMBAUG MML AGRA","ecmt078","2025-07-21 11:30:02","","152.58.97.231","{""latitude"":""27.2054775"",""longitude"":""78.0416491""}"
"Muthoot","ECMT078 RAMBAUG MML AGRA","ecmt078","2025-07-21 10:42:50","2025-07-21 11:21:57","152.58.97.231","{""latitude"":""27.2056248"",""longitude"":""78.0416766""}"
"Muthoot","ECMT078 RAMBAUG MML AGRA","ecmt078","2025-07-21 09:37:37","2025-07-21 10:07:48","152.58.97.231","{""latitude"":""27.205646"",""longitude"":""78.0417069""}"
"Muthoot","ECMT079 FEROZABAD MML FEROZABAD","ecmt079","2025-07-21 10:38:57","2025-07-21 11:09:00","27.60.136.69",""
"Muthoot","ECMT080 MORADABAD MML MORADABAD","ecmt080","2025-07-21 11:27:44","","103.217.79.254","{""latitude"":""28.8258445"",""longitude"":""78.7737776""}"
"Muthoot","ECMT080 MORADABAD MML MORADABAD","ecmt080","2025-07-21 10:41:43","2025-07-21 11:12:00","103.217.79.254","{""latitude"":""28.8258445"",""longitude"":""78.7737776""}"
"Muthoot","ECMT080 MORADABAD MML MORADABAD","ecmt080","2025-07-21 10:16:33","2025-07-21 10:47:00","223.228.91.201","{""latitude"":""28.8258424"",""longitude"":""78.7737702""}"
"Muthoot","ECMT002 SIYANA MML","ECMT002","2025-07-21 11:19:03","2025-07-21 11:57:24","103.196.0.209",""
"Muthoot","ECMT002 SIYANA MML","ECMT002","2025-07-21 08:58:09","2025-07-21 09:28:30","42.108.97.86","{""latitude"":""28.5283373"",""longitude"":""78.0179333""}"
"Muthoot","ECMT002 SIYANA MML","ECMT002","2025-07-21 10:23:15","2025-07-21 11:03:58","103.196.0.209",""
"Muthoot","ECMT127 NELLIKUPPAM MML CUDDALORE","ecmt0127","2025-07-21 10:11:58","2025-07-21 11:33:40","157.51.5.54",""
"Muthoot","ECMT133 RAMNAGAR MML WEST CHAMPARAN","ecmt133","2025-07-21 10:42:34","2025-07-21 11:18:00","117.96.16.55",""
"Muthoot","ECMT133 RAMNAGAR MML WEST CHAMPARAN","ecmt133","2025-07-21 08:47:01","2025-07-21 09:17:13","223.228.158.207","{""latitude"":""27.1665023"",""longitude"":""84.3307884""}"
"Muthoot","ECMT162 MUKKUDAL MML TIRUNELVELI","ecmt0162","2025-07-21 11:15:50","","27.62.10.76",""
"Muthoot","ECMT051 Dhalauna MML Hapur","ecmt051","2025-07-21 08:47:58","2025-07-21 09:18:11","106.211.63.138","{""latitude"":""28.6525834"",""longitude"":""77.6793448""}"
"Muthoot","ECMT051 Dhalauna MML Hapur","ecmt051","2025-07-21 11:36:32","","106.211.63.138","{""latitude"":""28.6333187"",""longitude"":""77.646506""}"
"Muthoot","ECMT051 Dhalauna MML Hapur","ecmt051","2025-07-21 10:35:54","2025-07-21 11:28:29","106.211.63.138","{""latitude"":""28.6333627"",""longitude"":""77.6463828""}"
"Muthoot","ECMT051 Dhalauna MML Hapur","ecmt051","2025-07-21 09:51:18","2025-07-21 10:21:26","106.211.63.138","{""latitude"":""28.633334"",""longitude"":""77.6464121""}"
"Muthoot","ECMT225 MADHEPURA MML","ecmt225","2025-07-21 11:07:23","2025-07-21 11:18:28","117.96.18.88","{""latitude"":""25.9118786"",""longitude"":""86.7914312""}"
"Muthoot","ECMT225 MADHEPURA MML","ecmt225","2025-07-21 11:18:39","2025-07-21 11:58:43","117.96.16.88",""
"Muthoot","ECMT225 MADHEPURA MML","ecmt225","2025-07-21 11:59:05","","117.96.146.232","{""latitude"":""25.9118786"",""longitude"":""86.7914312""}"
"Muthoot","ECMT016 Pathanamthitta MML","ecmt0016","2025-07-21 10:28:02","2025-07-21 10:58:54","103.177.252.72","{""latitude"":""9.2346466"",""longitude"":""76.7920681""}"
"Muthoot","ECMT264 MANJHAUL BEGUSARAI","ecmt264","2025-07-21 11:14:53","","223.235.143.80","{""latitude"":""25.5650309"",""longitude"":""86.1241348""}"
"Muthoot","ECMT264 MANJHAUL BEGUSARAI","ecmt264","2025-07-21 10:05:36","2025-07-21 11:05:04","223.235.143.80","{""latitude"":""25.5649682"",""longitude"":""86.1241454""}"
"Muthoot","ECMT224 MANNARKKAD MML","ECMT224","2025-07-21 10:26:28","2025-07-21 10:55:27","120.61.0.195","{""latitude"":""10.9927534"",""longitude"":""76.4625309""}"
"Muthoot","ECMT224 MANNARKKAD MML","ECMT224","2025-07-21 10:02:58","2025-07-21 10:08:53","120.61.0.195","{""latitude"":""10.9927508"",""longitude"":""76.4625308""}"
"Muthoot","ECMT224 MANNARKKAD MML","ECMT224","2025-07-21 10:55:46","","120.61.0.195","{""latitude"":""10.9927515"",""longitude"":""76.4625286""}"
"Muthoot","ECMT224 MANNARKKAD MML","ECMT224","2025-07-21 11:39:45","2025-07-21 11:47:44","49.47.198.84","{""latitude"":""11.9013376"",""longitude"":""75.3532928""}"
"Muthoot","ECMT266 KAYAMKULAM 2 MML ALAPUZHA","ECMT266","2025-07-21 11:52:03","","117.216.178.104","{""latitude"":""9.1774334"",""longitude"":""76.5525982""}"
"Muthoot","ECMT266 KAYAMKULAM 2 MML ALAPUZHA","ECMT266","2025-07-21 11:25:41","","117.206.29.64","{""latitude"":""9.1774751"",""longitude"":""76.5526117""}"
"Muthoot","ECMT266 KAYAMKULAM 2 MML ALAPUZHA","ECMT266","2025-07-21 09:41:29","2025-07-21 10:12:00","61.3.138.243","{""latitude"":""9.1774855"",""longitude"":""76.552557""}"
"Muthoot","ECMT324 SANTRAMPUR MML MAHISAGAR","ecmt324","2025-07-21 11:37:32","","117.99.59.202","{""latitude"":""23.1854841"",""longitude"":""73.8963441""}"
"Muthoot","ECMT271 NAGAPPATINAM MML NAGAPPATINAM","ECMT271","2025-07-21 09:37:06","2025-07-21 10:07:09","223.185.200.232",""
"Muthoot","ECMT271 NAGAPPATINAM MML NAGAPPATINAM","ECMT271","2025-07-21 11:28:15","","103.76.189.204","{""latitude"":""10.7599327"",""longitude"":""79.8397042""}"
"Muthoot","ECMT271 NAGAPPATINAM MML NAGAPPATINAM","ECMT271","2025-07-21 10:25:31","2025-07-21 10:28:56","103.76.189.204","{""latitude"":""10.7599327"",""longitude"":""79.8397042""}"
"Muthoot","ECMT277 WADGAON MML YAVATMAL ","Ecmt277","2025-07-21 10:27:10","2025-07-21 11:47:43","103.181.17.75","{""latitude"":""20.3758142"",""longitude"":""78.1110743""}"
"Muthoot","ECMT277 WADGAON MML YAVATMAL ","Ecmt277","2025-07-21 11:48:56","","103.181.17.75","{""latitude"":""20.3758155"",""longitude"":""78.1110748""}"
"Muthoot","ECMT277 WADGAON MML YAVATMAL ","Ecmt277","2025-07-21 11:19:25","","103.181.17.75","{""latitude"":""20.3758155"",""longitude"":""78.1110748""}"
"Muthoot","ECMT355 BHADRAN MML","ecmt355","2025-07-21 09:06:46","2025-07-21 09:37:26","27.59.93.116",""
"Muthoot","ECMT355 BHADRAN MML","ecmt355","2025-07-21 10:57:11","2025-07-21 11:45:00","27.59.92.116",""
"Muthoot","ECMT337 SAMBHAL MML SAMBHAL ","ecmt337","2025-07-21 09:14:55","2025-07-21 09:45:00","122.176.199.53","{""latitude"":""28.5864359"",""longitude"":""78.5691622""}"
"Muthoot","ECMT362 LIMKHEDA MML DAHOD","ecmt362","2025-07-21 11:33:49","","103.247.54.117","{""latitude"":""22.8378213"",""longitude"":""73.9912553""}"
"Muthoot","ECMT362 LIMKHEDA MML DAHOD","ecmt362","2025-07-21 10:32:02","2025-07-21 11:05:11","103.247.54.117","{""latitude"":""22.8378264"",""longitude"":""73.9913082""}"
"Muthoot","ECMT363 ASFABAD CHAURAHA MML","ecmt363","2025-07-21 10:09:49","2025-07-21 11:08:30","106.205.170.177","{""latitude"":""27.1251039"",""longitude"":""78.4574532""}"
"Muthoot","ECMT363 ASFABAD CHAURAHA MML","ecmt363","2025-07-21 09:44:41","2025-07-21 09:47:42","106.205.170.177","{""latitude"":""27.1248764"",""longitude"":""78.4575778""}"
"Muthoot","ECMT363 ASFABAD CHAURAHA MML","ecmt363","2025-07-21 09:48:00","2025-07-21 09:48:20","106.205.170.177","{""latitude"":""27.1251039"",""longitude"":""78.4574532""}"
"Muthoot","ECMT363 ASFABAD CHAURAHA MML","ecmt363","2025-07-21 08:54:03","2025-07-21 09:24:51","106.205.170.177",""
"Muthoot","ECMT364 KRIAOLI MML AGRA ","ecmt364","2025-07-21 10:11:43","2025-07-21 10:53:26","106.205.173.49","{""latitude"":""27.1395018"",""longitude"":""77.7803532""}"
"Muthoot","ECMT364 KRIAOLI MML AGRA ","ecmt364","2025-07-21 10:51:19","2025-07-21 11:24:52","106.205.173.49","{""latitude"":""27.1404299"",""longitude"":""77.7800733""}"
"Muthoot","ECMT364 KRIAOLI MML AGRA ","ecmt364","2025-07-21 10:28:20","2025-07-21 11:03:00","106.205.173.49","{""latitude"":""27.1395018"",""longitude"":""77.7803532""}"
"Muthoot","ECMT364 KRIAOLI MML AGRA ","ecmt364","2025-07-21 09:28:03","2025-07-21 09:58:09","106.205.173.49","{""latitude"":""27.1404299"",""longitude"":""77.7800733""}"
"Muthoot","ECMT367 KATRA SHIVDYALGANJ MML AYODHYA","ecmt367","2025-07-21 09:29:35","2025-07-21 09:59:53","152.59.179.101","{""latitude"":""26.8460506"",""longitude"":""82.208589""}"
"Muthoot","ECMT377 THRIUVILLWAMALA","ECMT0377","2025-07-21 10:22:03","2025-07-21 10:24:55","106.221.227.150","{""latitude"":""10.7326604"",""longitude"":""76.4275651""}"
"Muthoot","ECMT377 THRIUVILLWAMALA","ECMT0377","2025-07-21 10:44:01","2025-07-21 11:57:00","106.221.225.150","{""latitude"":""10.7326604"",""longitude"":""76.4275651""}"
"Muthoot","ECMT307 SONIPAT MML SONIPAT","ecmt307","2025-07-21 11:38:39","","42.105.75.145",""
"Muthoot","ECMT307 SONIPAT MML SONIPAT","ecmt307","2025-07-21 11:12:54","","42.105.75.145",""
"Muthoot","ECMT382 YAVATMALA MML YAVATMALA","ecmt382","2025-07-21 10:45:31","","157.33.241.121",""
"Muthoot","ECMT384 PUSAD MML YAVATMALA","ecmt384","2025-07-21 10:56:42","2025-07-21 11:46:00","106.193.240.91",""
"Muthoot","ECMT399 KANHANGOD MML ","ECMT399","2025-07-21 09:37:35","2025-07-21 10:08:15","106.221.228.138","{""latitude"":""12.3234654"",""longitude"":""75.087578""}"
"Muthoot","ECMT399 KANHANGOD MML ","ECMT399","2025-07-21 09:31:19","2025-07-21 10:01:36","106.221.228.138","{""latitude"":""12.3227488"",""longitude"":""75.087213""}"
"Muthoot","ECMT399 KANHANGOD MML ","ECMT399","2025-07-21 09:33:42","2025-07-21 10:04:16","106.221.228.138","{""latitude"":""12.3237325"",""longitude"":""75.0861181""}"
"Muthoot","ECMT183 ARANI MML","ECMT0183","2025-07-21 10:51:38","2025-07-21 11:24:30","110.224.90.217",""
"Muthoot","ECMT183 ARANI MML","ECMT0183","2025-07-21 10:33:28","2025-07-21 10:33:36","110.224.94.217",""
"Muthoot","ECMT183 ARANI MML","ECMT0183","2025-07-21 10:39:20","2025-07-21 10:51:26","110.224.92.217",""
"Muthoot","ECMT217 Pallikonda MML","ECMT0217","2025-07-21 11:13:59","2025-07-21 11:56:00","110.224.93.227",""
"Muthoot","ECMT401 PHARENDRA MML MAHARAJGANJ","ecmt401","2025-07-21 11:57:20","","106.208.159.242","{""latitude"":""27.0959606"",""longitude"":""83.2712906""}"
"Muthoot","ECMT401 PHARENDRA MML MAHARAJGANJ","ecmt401","2025-07-21 11:15:43","2025-07-21 11:46:56","106.208.159.242","{""latitude"":""27.0959606"",""longitude"":""83.2712906""}"
"Muthoot","ECMT305 NARWANA MML JIND","ecmt305","2025-07-21 10:15:31","2025-07-21 10:45:54","110.224.68.104",""
"Muthoot","ECMT305 NARWANA MML JIND","ecmt305","2025-07-21 10:19:44","2025-07-21 11:39:00","110.224.78.104",""
"Muthoot","ECMT305 NARWANA MML JIND","ecmt305","2025-07-21 09:39:49","2025-07-21 10:09:58","110.224.69.104",""
"Muthoot","ECMT305 NARWANA MML JIND","ecmt305","2025-07-21 09:48:32","2025-07-21 10:41:26","110.224.69.104",""
"Muthoot","ECMT305 NARWANA MML JIND","ecmt305","2025-07-21 11:12:13","","110.224.78.104",""
"Muthoot","ECMT344 NANDED MML NANDED","ecmt344","2025-07-21 10:35:43","","103.181.166.45","{""latitude"":""19.1849058"",""longitude"":""77.2923549""}"
